cottage cheese,106.58,12.09,3.68,4.68,108.75,4
protein bar,211.06,20,21,5.2,52.8,4
tofu,75.53,9.08,1.07,4.79,91,4
nuts,172.08,5.68,5.97,15.29,28.35,4
almonds,7.71,0.27,0.27,0.68,1.29,4
jicama,45.6,0.86,10.58,0.11,120,4
mango con chile y limon,126.71,2.19,33.12,1.15,236.2,4
cherry tomatoe,3.06,0.15,0.66,0.03,17,4
popcorn,44,0.59,4.36,2.69,7.9,4
galleta de casco,45.9,0.6,5.52,2.38,9,4
quinoa,111,4.07,19.7,1.78,92.5,4
jelly,55.86,0.03,14.69,0,21,4
taro boba,278.22,1.16,67.56,0.6,575.8,4
tamales,247.08,10.44,22.37,12.84,142,3
sandwich,154.86,6.22,28.23,1.88,58,3
chilaquiles,875.56,39.83,55.57,55.66,450,3
huevos pericos,194.62,10.79,7.38,13.62,203.5,3
huevos ranchero,643.79,28.55,39.2,42.85,449.65,3
huevos con machaca,347.6,31.89,10.02,20.03,301.68,3
huevos motulenos,195.48,12.51,13.25,10.31,119.37,3
huevos a la mexicana,545.21,26.84,9.62,44.48,392.03,3
enfrijolada,136.01,6.03,23.5,2.59,104.58,3
entomatadas,212.01,7.23,14.81,14.43,120.41,3
molletes,368.86,17.56,37.3,17.16,202.47,3
yogurt,107.1,8.93,11.97,2.64,170,3
greek yogurt,100.3,17.32,6.12,0.66,170,3
fruit yogurt,161.5,7.48,32.3,0.34,170,3
cereal,105.28,3.39,20.5,1.88,28,3
granola,298.29,8.34,32.87,14.83,61,3
platano,278.4,1.9,74.76,0.43,240,3
orange,68.6,1.27,17.56,0.21,140,3
pera,40.07,1.44,4.95,1.69,10.74,3
melon,60.18,1.49,14.44,0.34,177,3
quesadilla,713.92,30.9,46.77,44.78,194,3
carne asada taco,197.07,16.42,13.24,8.94,112.61,3
